Station Code	Station Name	Station Coordinates
DARI	DHARI JN	"21.326557,71.027384"
DAS	DHASA JN	"21.782615,71.518078"
DASF	DHASA JN	"21.782615,71.518078"
DAU	DAGRU	"30.83533,75.047264"
DAV	DEVALGAON AUCHR	"19.322321,76.605091"
DAVC	DAV COLLEGE (JALALAB	"30.593666,74.252257"
DAVJ	D.A.V.C.H. JALANDHER	"31.347297,75.56164"
DAVM	DHANU VACHA PURAM HA	"8.379232,77.124782"
DAZ	DELHI AZADPUR	"28.703086,77.177153"
DB	DABHOI JN	"22.137525,73.415236"
DBA	DABRA	"25.881157,78.330975"
DBB	DHUBRI	"26.022697,89.977512"
DBD	DEOBAND	"29.6797715,77.6706134"
DBEC	DEVBALODA CHRDA	"21.21378,81.45092"
DBF	DABPAL	"18.92825,81.489193"
DBG	DARBHANGA JN	"26.156748,85.907235"
DBI	DABLI RATHAN	"29.542846,74.19136"
DBKA	DABKA	"21.251342,76.808596"
DBL	DODBELE	"13.216551,77.351303"
DBLA	DABLA	"27.893556,75.949659"
DBLI	DEVRABANDHAULI	"26.384796,85.76992"
DBM	DABOLIM	"15.388894,73.849497"
DBN	DHABLAN	"30.338213,76.301079"
DBNK	DERABABA NANAK	"32.023068,75.014277"
DBNR	DIBNAPUR	"28.524813,79.51664"
DBO	DABHODA	"23.167981,72.747688"
DBOU	DABHAU	"22.581047,72.732496"
DBP	DEBIPUR	"23.143201,88.157558"
DBQ	DHULABARI	"26.361881,88.231544"
DBR	DABHAURA	"25.11801,81.303205"
DBRG	DIBRUGARH	"27.4779592,94.9013292"
DBRT	DIBRUGARH TOWN	"27.464566,94.93681"
DBS	DOBBSPET	"13.235434,77.255001"
DBSI	DAYABASTI	"28.667169,77.17123"
DBT	DAKSHIN BARASAT	"22.226482,88.452666"
DBU	DODBALLAPUR	"13.27921,77.55043"
DBV	DABILPUR	"17.674446,78.470535"
DBY	DIGBOI	"27.383733,95.617232"
DBZ	DHING BAZAR	"26.455513,92.480679"
DC	MAGUDANCHAVADI	"11.55105,77.987394"
DCA	DAMCHARA	"25.012701,92.749715"
DCAB	D CABIN	"21.226342,81.477699"
DCH	DINHATTA CLGE H	"26.14687677,89.46653075"
DCK	DHANDHUKA	"22.384524,71.976113"
DCOP	DURGAPUR COKE OVEN	"23.505126,87.298222"
DCP	DAL CHAPRA	"25.82678,84.432335"
DCU	DAMALCHERUVU	"13.478695,79.056244"
DCX	DHANICHHA	"25.230566,83.477554"
DD	DAUND JN	"18.463897,74.578972"
DDA	DURAUNDHA JN	"26.087313,84.459286"
DDC	DUM DUM CANT	"22.636669,88.411961"
DDCE	DUNDI	"23.557614,80.216417"
DDD	DHONDHA DIH	"25.672628,83.7953"
DDE	DONDAICHA	"21.331274,74.562964"
DDG	DIGHA GHAT	"25.646749,85.09203"
DDGA	DUGDA	"23.75840842,86.16159797"
DDJ	DUM DUM	"22.621617,88.392735"
DDK	DHINDSA	"30.896038,74.738703"
DDL	DHANDARI KALAN	"30.874677,75.909691"
DDM	DAM DIM	"26.858993,88.671083"
DDMT	DARIMETA	"21.536963,78.54126"
DDN	DEHRADUN	"30.3138877,78.0334511"
DDNA	DUDHAUNDA	"25.573105,83.084278"
DDNI	DUDHNOI	"26.001369,90.76179"
DDP	DAUDPUR	"25.90683,84.591165"
DDR	DADAR	"19.019441,72.843175"
DDS	DUDH SAGAR	"15.313037,74.313755"
DDV	DADHDEVI	"25.07767,75.897846"
DDW	DUDWA	"28.50807,80.671921"
DDX	DHAMDHAMIA	"24.949799,87.760849"
DDY	DUDWINDI	"31.237903,75.258493"
DEA	DIARA	"22.798497,88.280811"
DEB	DEBAGRAM	"23.685717,88.307247"
DEC	DELHI CANTT	"28.613384,77.116427"
DEE	DELHI S ROHILLA	"28.662952,77.187066"
DEEG	DEEG	"27.48682053,77.32478142"
DEG	DELANG	"20.038354,85.76683"
DEHR	DEHU ROAD	"18.680276,73.734269"
DEL	DENDULURU	"16.781616,81.180682"
DELO	DEORAKOT	"26.754348,81.906338"
DEMU	DEMU	"23.69735,84.52589"
DEO	DEOKALI	"27.977727,80.705566"
DEOR	DIYODAR	"24.113149,71.770548"
DEOS	DEORIA SADAR	"26.508061,83.782339"
DEP	DEPALSAR	"28.2364273,74.9199075"
DER	DADRI	"28.53816,77.537642"
DES	DESARI	"25.668141,85.40617"
DET	DET	"25.01204,74.641628"
DEU	DEVSANA	"23.333114,72.279367"
DEV	DEVARAYI	"15.44953863,74.57142413"
DEW	DEWALGAON	"20.913662,80.08707"
DEWA	DEWA	"22.612981,72.739363"
DFR	DEOGAN ROAD	"20.554849,83.430133"
DG	DINDIGUL JN	"10.35393,77.985592"
DGA	DIGHWARA	"25.744008,85.003238"
DGB	DINDU G PURAM H	"18.543256,84.242048"
DGBZ	DONGRI BUZURG	"21.573484,79.676285"
DGD	DANGIDHAR	"23.871711,79.019852"
DGDG	DURGADA GATE	"17.212543,82.349181"
DGF	DHAGARIA	"23.242529,87.505846"
DGG	DONGARGARH	"21.185532,80.759897"
DGHA	DIGHA FLAG STN	"21.622777,87.508055"
DGHL	DIGHAL	"0,0"
DGHR	DEOGHAR	"24.51169242,86.69703126"
DGI	DUNGRI	"20.687436,72.949219"
DGJ	DUNGAR JN	"21.078574,71.553526"
DGLE	DHULIAN GANGA	"24.672446,87.938004"
DGN	DONGARGAON	"21.641154,76.363907"
DGNH	DERGAON HALT	"25.088864,85.751209"
DGNR	DURGANAGAR	"22.650928,88.41917"
DGO	DURGAUTI	"25.207737,83.539524"
DGPI	DURGAPURI	"0,0"
DGPP	DHENGLI PP GOAN	"19.406212,76.49128"
DGQ	DUGDOL	"0,0"
DGR	DURGAPUR	"23.495366,87.298222"
DGS	DAGORI	"21.905623,82.069073"
DGT	DHULGHAT	"21.186172,76.834431"
DGU	DIGARU	"26.173156,91.977711"
DGW	DHIGAWARA	"27.295825,76.613159"
DGX	DAGAON	"26.444216,92.613459"
DGY	DIGHORI BUZURG	"21.107883,79.230824"
DH	DIAMOND HARBOUR	"22.192332,88.190346"
DHA	DHEENA	"25.354032,83.422709"
DHAE	DAINHAT	"23.60143,88.169789"
DHCA	DHAKA CANTONMENT	"23.815717,90.410807"
DHD	DAHOD	"22.843907,74.253674"
DHE	DODHI	"25.604379,82.998447"
DHF	DAHEJ	"21.714693,72.595682"
DHG	DHRANGDHRA	"22.9867851,71.4787276"
DHH	DINHATA	"26.123924,89.468365"
DHI	DHULE	"20.887362,74.768457"
DHJ	DHINOJ	"23.6707824,72.2816598"
DHK	DHAKURIA	"22.51557,88.371534"
DHKR	DHODA KHEDI	"30.018585,76.842182"
DHL	DEVANAHALLI	"13.247214,77.705011"
DHLI	DETHLI	"23.486392,72.103271"
DHMA	DHAMARDA	"22.846438,74.297276"
DHMZ	DHOLA MAZRA	"30.120928,76.854687"
DHN	DHANBAD JN	"23.791196,86.429186"
DHNA	DHACHANA	"25.656382,87.963066"
DHND	DHINDA	"26.891301,75.361576"
DHNE	DHONE	"15.396259,77.865257"
DHNL	DHANALA	"23.009201,71.084115"
DHNR	DHANORA DECCAN	"19.454453,78.125324"
DHO	DHAULPUR	"26.697312,77.905769"
DHP	DICHPALLI	"18.613468,78.194847"
DHPD	DHAPARA DHAM	"24.196086,88.246307"
DHPR	DAPPAR	"30.610547,76.847692"
DHQ	DHARAKHOH	"22.009507,77.950144"
DHR	DHARNAODA	"24.592085,77.099133"
DHRJ	DHIRGANJ	"25.745322,81.924019"
DHRN	DHURANA	"29.253156,76.802845"
DHRR	DHIRERA	"28.363459,73.616295"
DHRY	DHALPUKHURI	"25.980731,92.880306"
DHS	DHAVALAS	"18.136227,75.318489"
DHT	DHAMARA GHAT	"25.590601,86.599302"
DHU	DHUBULIA	"23.483716,88.441315"
DHW	DHARIWAL	"31.949213,75.321665"
DHY	DHARODI	"29.632114,76.064529"
DHZM	DHOLA MAZRA	"0,0"
DI	DOMBIVIL	"19.218188,73.08687"
DIA	DIDWANA	"27.406138,74.557686"
DIB	DIBAI	"28.19369,78.302994"
DIBL	DHOLI (BHAL)	"22.44562,72.0825"
DIC	DAHISAR	"19.249976,72.859397"
DIG	DUGGIRALA	"16.327759,80.62377"
DIH	DHARUADIHI	"21.994705,84.223251"
DIL	DILAWARNAGAR	"26.9599991,80.6672844"
DIM	DHANSIMLA	"23.268473,87.463531"
DING	DING	"29.4609337,75.2604846"
DINR	DIVINE NAGAR HALT (F	"10.287474,76.335969"
DIP	DIPORE	"20.79327,78.041081"
DIR	DHANAPUR ORISSA	"18.944933,82.507153"
DISA	DISA	"24.2370852,72.1795603"
DIT	DOHRIGHAT	"26.266325,83.511887"
DIU	DHING	"26.453131,92.450895"
DIVA	DIVA	"19.188684,73.042195"
DIW	DHILWAN	"31.498653,75.334711"
DJ	DARJEELING	"27.037741,88.262916"
DJA	DAOTUHAJA	"25.227771,93.162432"
DJB	DIJAOBRA	"25.55096,93.094196"
DJD	DIDARGANJ ROAD	"26.092247,82.805071"
DJG	DULIAJAN	"27.367242,95.306482"
DJHR	DEOJHAR	"22.08074726,85.47702312"
DJI	DHORAJI	"21.72179,70.4444"
DJKR	DOLAJI KA KHERA	"25.536866,73.882198"
DJL	DODJALA H	"13.182916,77.651882"
DJR	DOMJUR	"22.641581,88.212318"
DJRZ	DARJEELING JOY RIDE	"0,0"
DJX	DUNGRIPADI	"21.060753,83.559093"
DK	DAKOR	"22.746833,73.1582218"
DKAE	DANKUNI	"22.677342,88.291411"
DKB	DAKSHIN BARI	"22.657106,88.178501"
DKBJ	DAHAR KA BALAJI	"26.944491,75.765839"
DKC	DEVARKADRE	"16.630764,77.838521"
DKD	DONAKONDA	"15.834371,79.483852"
DKDE	DANKAUR	"28.414843,77.642741"
DKDP	DAKSHIN DURGAPR	"22.308791,88.399258"
DKE	DIHAKHO	"25.427617,93.126297"
DKI	DHARMKUNDI	"22.509068,77.54631"
DKJ	DORNAKAL JN	"17.445647,80.152817"
DKLU	DOIKALLU	"19.74168249,83.48141132"
DKM	DIKOM	"27.470277,95.095682"
DKN	DEVANGONTHI	"12.985657,77.831097"
DKNT	DAKANIYA TALAV	"25.145518,75.865831"
DKO	DEVAKOTTAI ROAD	"10.037401,78.761537"
DKRA	DHUANKHERI	"24.505113,75.89819"
DKS	DAREKASA	"21.271059,80.580511"
DKSA	DRAKSHARAMA	"16.796817,82.048988"
DKT	DHULKOT	"30.395976,76.787825"
DKU	DUMRI KHURD	"21.310166,79.312019"
DKUR	DOKUR	"16.592148,77.852983"
DKW	DHANAKWADA	"24.146127,71.823292"
DKWA	DOKWA	"28.579547,75.323124"
DKX	DUDHWAKHARA	"28.45858,75.165195"
DKY	DHOKI	"18.353466,76.103239"
DKZ	DELHI KISHANGNJ	"28.664232,77.200756"
DL	DALADI	"22.585247,71.069484"
DLA	DOULTA	"24.998349,78.429165"
DLB	DAULATABAD	"19.916387,75.210514"
DLC	DALMERA	"28.417372,73.65612"
DLCR	DULLABCHERRA	"24.504957,92.477331"
DLD	DALAUDA	"23.949077,75.105801"
DLDE	DALDALI	"25.819981,93.516912"
DLF	DALAN	"25.61181,87.560863"
DLGN	DHALGAON	"17.1206172,74.9883634"
DLI	DELHI	"28.661596,77.228136"
DLJ	DHOLA JN	"21.822939,71.738663"
DLK	DALKOLHA	"25.873666,87.839127"
DLMH	DHAULIMUHAN	"20.079492,85.604932"
DLN	DILDARNAGAR JN	"25.419284,83.668184"
DLO	DALGAON	"26.715254,89.136114"
DLP	DALPATPUR	"28.820538,78.877287"
DLPH	DAULATPUR HALT	"25.32589273,88.33256722"
DLPI	DELHI INDRAPURI	"28.600913,77.161188"
DLPR	DAYALPUR	"0,0"
DLPT	DULAKHAPATNA	"21.007359,86.281214"
DLQ	DALELNAGAR	"27.118577,80.419664"
DLR	DULLAHAPUR	"25.799428,83.422794"
DLSR	DALHOGI ROAD	"32.288584,75.750363"
DLTH	DAULATPURHAT	"0,0"
DLW	DILWA	"24.53759788,85.41998863"
DLX	DALIMGAON	"25.640288,88.38604"
DLZ	DHOLBAJA	"26.27433,87.270927"
DMA	DAMODAR JN	"23.651011,86.908507"
DMBR	DUMRI BIHAR(E)	"23.807334,85.766144"
DMC	DHEMAJI	"27.4891061,94.5422975"
DMD	DHARMADAM	"11.778679,75.4635"
DME	DAMNAGAR	"21.688616,71.509323"
DMF	DUMERTA	"22.186133,84.915133"
DMG	DOMINGARH	"26.764771,83.341513"
DMGN	DHAMALGOAN	"27.325186,94.856189"
DMH	DAURAM MADHPURA	"25.908683,86.782808"
DMK	DILMILI	"18.987873,81.738281"
DML	DHARAMTUL	"26.189177,92.36721"
DMLE	DUMURDAHA	"23.039693,88.432302"
DMM	DHARMAVARAM JN	"14.424539,77.717285"
DMN	DHAMANGAON	"20.784604,78.137984"
DMNJ	DAMAN JODI	"18.768271,82.866268"
DMO	DAMOH	"23.836543,79.432096"
DMP	DHARMPUR HMCHL	"30.900071,77.023494"
DMPR	DHARAMPUR	"28.149806,78.265228"
DMR	DHARMANAGAR	"24.367426,92.168727"
DMRT	DUMURIPUT	"18.780217,82.803783"
DMRX	DUMRI	"25.253391,86.024494"
DMT	DIGUVAMETTA	"15.39477,78.826046"
DMU	DHAMUA	"22.290049,88.392048"
DMV	DIMAPUR	"25.905942,93.728056"
DMW	DALMAU JN	"26.07521,81.05361"
DMYA	DAMOY	"0,0"
DMZ	DUMDANGI	"26.47695,88.296218"
DN	DHANARI	"28.340799,78.530445"
DNA	DEGANA JN	"26.897119,74.316158"
DNC	DRONACHELLAM JN	"15.396274,77.8654912"
DND	DANDUPUR	"25.802055,82.041092"
DNDI	DHONDI	"19.106568,76.736412"
DNDL	DANDI MAL	"20.714855,85.5338"
DNE	DHAMNI	"19.647438,77.178268"
DNEA	DANEA	"23.799481,85.658684"
DNGD	DUNGARDA	"20.806509,73.441372"
DNGI	DANGARI	"27.712254,95.569553"
DNHK	DHINDHORA HKMKD	"26.803695,77.103252"
DNHL	DHANIAKHALI HALT	"22.95045,88.143911"
DNI	DANSI	"22.620983,88.268108"
DNJ	DAUNDAJ	"18.230819,74.174366"
DNK	DHANAKYA	"26.91809,75.605507"
DNKL	DHENKANAL	"20.676395,85.590448"
DNL	DHANOLI	"21.32224,80.42696"
DNM	DHANMANDAL	"20.687396,86.11187"
DNN	DINA NAGAR	"32.134629,75.467191"
DNPR	DHANPURA	"23.453325,72.212276"
DNQ	DANDKHORA	"25.569543,87.632961"
DNR	DANAPUR	"25.582201,85.044909"
DNRA	DHANDHERA	"29.842877,77.904396"
DNRE	DHANAURI	"25.17166,86.215296"
DNRP	DUNGARPUR	"23.867315,73.695602"
DNT	DANTAN	"21.930466,87.284145"
DNUA	DHANSURA	"23.352106,73.1989"
DNV	DONKINAVALASA	"18.469026,83.351212"
DNW	DANGARWA	"23.401505,72.441273"
DNWF	DANGARWA	"23.401505,72.441273"
DNWH	DANIYAWAN BZR H	"25.4344,85.290942"
DNX	DHANSU	"29.211961,75.801888"
DNZ	DHANORI	"20.878781,78.290805"
DO	DAUSA	"26.900487,76.330776"
DOA	DORAHA	"30.804077,76.043243"
DOB	DUNDLOD MKDGRH	"27.965447,75.235405"
DOC	DAUN KALAN	"30.387166,76.476946"
DOD	DHODHAR	"23.770421,75.103226"
DODH	DODH	"30.842037,74.522367"
DOE	DEORI	"23.298235,80.009608"
DOH	DHODRA MOHAR	"22.281234,77.874956"
DOHM	DEVGARH MADRIYA	"25.610416,73.855762"
DOK	DHOLKA	"22.732332,72.434192"
DOKM	DOKRA HALT	"23.782674,86.480598"
DOKY	DUKHERI	"30.295462,76.88437"
DOL	DHOLI	"25.977182,85.562725"
DOLK	DHOLIKUA	"20.830898,73.212118"
DON	DERAWAN HALT	"22.487658,85.299542"
DOR	DUNDARA	"25.895519,72.796612"
DORD	DEO ROAD	"24.825067,84.550781"
DOS	DEHRI ON SONE	"24.914775,84.185314"
DOT	DHAKIA TIWARI	"28.028652,79.885712"
DOTL	DEOTALA	"25.274659,88.294544"
DOW	DAVOL	"22.39865,72.952652"
DOX	DOHNA	"28.434204,79.432869"
DOY	DORNAHALLI	"12.433056,76.42622"
DOZ	DAURAI	"26.395714,74.619656"
DPA	DURGAPURA	"26.855777,75.786266"
DPC	DARLIPUT	"18.365116,82.746449"
DPD	DOSAPADU	"16.468847,80.938811"
DPDP	DHAPDHAPI	"22.316294,88.460155"
DPE	DEVARAPALLI	"13.732382,77.510262"
DPF	DABPAL	"18.927803,81.489887"
DPH	DADHAPARA	"22.028206,82.123232"
DPI	DODDAMPATTI	"12.18156581,78.42247009"
DPJ	DHARMAPURI	"12.126145,78.154292"
DPK	DHOLIPAL	"29.751412,74.255219"
DPL	DANAULI PHLWRIA	"25.420951,86.249886"
DPLN	DIPLANA	"29.184988,74.832687"
DPP	DHIRPUR	"30.079195,76.84679"
DPR	DHAMPUR	"29.305936,78.502078"
DPRA	DHUP DHARA	"25.979959,91.066189"
DPS	DANGOAPOSI	"22.167614,85.59238"
DPSR	DAPSAURA	"25.983663,80.203114"
DPT	DALPAT SINGHPUR	"29.929498,73.524456"
DPU	DIPHU	"25.8369,93.438034"
DPUR	DEPUR PH	"19.972946,83.250506"
DPW	DHAPEWARA	"21.87276,80.191183"
DPX	DADPUR	"24.829429,86.349106"
DPZ	DEVPURA	"26.03226,76.251297"
DQG	DHUPGURI	"26.573482,88.994923"
DQN	DHANERA	"24.506528,72.032364"
DQR	KACHEGUDA DBR	"17.366183,78.490384"
DQV	DAULA KOT BHAI	"0,0"
DR	DADAR	"19.017189,72.842982"
DRA	DULARIA	"22.575241,77.653942"
DRB	DEBARI	"24.606757,73.805122"
DRBR	DEORAHA BABA RD	"26.283719,83.870831"
DRD	DAHANU ROAD	"19.991417,72.743568"
DRE	DHOGRI	"31.40288,75.635891"
DRG	DARSHANNAGAR	"26.740552,82.218246"
DRGJ	DARAGANJ	"25.44312,81.88046"
DRGM	DEORAGRAM	"24.096775,82.352314"
DRGU	DAMRU GHUTU	"23.45179,86.09024"
DRH	DHARHARA	"25.25832,86.411805"
DRHI	DAGARKHEDI	"22.106635,76.831856"
DRI	DUMRI JUARA	"25.748415,84.869385"
DRL	DEROL	"22.629975,73.461928"
DRLA	DAURALA	"29.114225,77.70637"
DRN	DEORANIAN	"28.64495,79.476643"
DRO	DARYAOGONJ	"27.596695,79.091778"
DRPH	DEVRI PH	"22.85672,79.836788"
DRR	DHARUR	"17.28902,77.75803"
DRS	DHARESHWAR	"25.777634,73.667793"
DRSN	DHURWASIN	"23.129152,81.845741"
DRTP	DASHARATHPUR	"25.264491,86.461716"
DRU	KADUR	"13.552051,76.008396"
DRV	DARAULI	"25.393273,83.601322"
DRW	DHAREWADA	"23.960686,72.378445"
DRWN	DEROWAN	"22.487737,85.299568"
DRZ	DALLI RAJHARA	"20.586249,81.067493"
DS	DASNA	"28.690889,77.528286"
DSA	DELHI SHAHDARA	"28.672968,77.293024"
DSAP	DELHI SHAHDARA A PAN	"28.673269,77.31946"
DSB	SADAR BAZAR	"28.658696,77.216892"
DSD	DOSVADA	"21.130782,73.502998"
DSJ	DELHI SAFDARJNG	"28.582261,77.187109"
DSK	DUSKHEDA	"21.073248,75.838623"
DSL	DESWAL	"26.852254,73.884429"
DSM	DARASURAM	"10.944394,79.356394"
DSME	DASARA	"24.265902,85.797729"
DSNI	DAUSNI	"29.784585,77.979476"
DSNR	DASHNAGAR	"22.598322,88.308449"
DSO	DESHNOK	"27.791023,73.338203"
DSPN	DESHPRAN PH	"22.029797,87.817497"
DSPT	DANISHPET	"11.858951,78.138285"
DSR	DHANSIRI	"25.811096,93.613858"
DSS	DALSINGH SARAI	"25.6649486,85.8416652"
DST	DASAMPATTI	"12.251276,78.438606"
DSVS	D.SAMUDRAVALLI	"0,0"
DSX	DESANG	"27.055915,94.686184"
DTAE	DHATRIGRAM	"23.277856,88.311882"
DTC	DITOKCHERRA	"25.090418,92.798595"
DTE	DEULTI	"22.452997,87.914143"
DTF	DANTLA	"27.196625,76.950989"
DTJ	DETROJ	"23.338,72.181721"
DTK	DATTAPUKUR	"22.768505,88.539762"
DTL	DARRITOLA	"23.289288,82.395401"
DTN	DHAMTAN SAHIB	"29.689097,76.004276"
DTO	DALTONGANJ	"24.032825,84.074593"
DTP	DIVITI PALLI	"16.741263,78.084555"
DTQ	DANTARDA KALAN	"25.754909,76.704311"
DTR	DHAMTARI	"20.714935,81.550741"
DTRA	DANTRA	"24.718143,72.512512"
DTRD	DIYATRA ROAD	"27.734744,72.810688"
DTV	DHUTRA	"21.896942,84.091158"
DTVL	DATIVLI CABIN	"19.187002,73.059039"
DTW	DATEWAS	"29.892895,75.616322"
DTX	DANGTAL	"26.465656,90.464859"
DUA	DHAURA	"24.44965,78.321791"
DUAN	DUAN	"22.354045,87.588158"
DUB	DABTARA	"28.368444,78.991184"
DUBH	DUBAHA	"25.948475,85.616798"
DUD	DUDHANI	"17.362681,76.37897"
DUE	DHURI JN	"26.79113,84.154072"
DUGD	DUGDA COAL WASHERY	"0,0"
DUI	DHURI JN	"30.373171,75.867033"
DUJ	DUBRAJPUR	"23.802858,87.378473"
DUK	DUDIA	"25.934428,72.902012"
DULP	DAULATPUR HRYNA	"29.452453,75.88892"
DUM	DHAURMUI JAGHNA	"27.292011,77.536268"
DUMK	DUMKA	"24.289687,87.255135"
DUMR	DUMRA	"26.576553,85.533199"
DUN	DUGANPUR	"28.658357,79.13023"
DUO	DHAURSALAR	"26.798179,80.081234"
DUR	DESUR	"15.754754,74.49842"
DURE	DUMRAON	"25.571634,84.143515"
DURG	DURG	"21.199937,81.291447"
DUS	DULRASAR	"28.354547,74.492455"
DUSI	DUSI	"18.370329,83.858042"
DUT	DUM DUMA TOWN	"27.57083,95.555477"
DUU	DUPADU	"15.742858,78.013229"
DVA	DELVADA	"20.773489,71.041589"
DVD	DUVVADA	"17.703353,83.151569"
DVG	DAVANGERE	"14.467594,75.92205"
DVGM	DEVGAM	"23.938722,71.592236"
DVH	DEVI HALT	"21.705921,78.86158"
DVJ	DILLI DEWAN GANJ	"25.432811,87.778702"
DVL	DEVLALI	"19.897099,73.83688"
DVM	DALBHUMGARH	"22.506253,86.551881"
DVN	DEVTHANA	"19.298507,77.699604"
DVR	DORAVART CHTRAM	"13.781402,79.968967"
DVY	DEVALIYA	"23.02776493,71.01247185"
DWA	DAILWARA	"24.78089,78.393245"
DWD	DHEKVAD	"21.339269,74.13866"
DWDI	DIGHWA DUBAULI	"26.264632,84.744158"
DWG	DEWANGANJ	"23.429386,77.592487"
DWI	DINGWAHI	"25.417075,80.414429"
DWJ	DWARKAGANJ	"26.316498,82.109156"
DWK	DWARKA	"22.250653,68.980064"
DWL	DHUWALA	"25.546778,74.581349"
DWLE	DHAUNI	"25.002706,86.992493"
DWM	DARWHA M BGH JN	"20.321468,77.767861"
DWNA	DIWANA	"29.318284,76.979914"
DWO	DOIWALA	"30.175591,78.12232"
DWP	DWARAPUDI	"16.927626,81.922731"
DWR	DHARWAR	"15.440526,75.004692"
DWT	DEWAN HAT	"26.234764,89.483471"
DWV	DIWAN KHAVATI	"17.855823,73.418584"
DWX	DEWAS	"22.977676,76.051311"
DWZ	DANTEWARA	"18.908073,81.354876"
DXD	DIGOD	"25.196554,76.015606"
DXG	DHARANGAON	"21.006357,75.286002"
DXH	DUHAI	"28.729883,77.479963"
DXK	DHANA KHERLI	"26.950229,77.535839"
DXN	DUDDHINAGAR	"24.208612,83.226585"
DXR	DIGSAR	"22.712223,71.499195"
DXU	DUHRU	"26.084076,80.177193"
DY	DUMARIYA	"26.864353,77.233801"
DYD	DARYABAD	"26.861673,81.550484"
DYE	DAYANAND NAGAR	"17.456537,78.53164"
DYK	DUDHIA KHURD	"28.46507,80.198135"
DYP	DARYAPUR	"26.182399,81.248188"
DYU	DIYURI	"28.603513,79.87627"
DZA	DASUYA	"31.80829,75.657692"
DZB	DAHINA ZAINABAD	"28.292138,76.38588"
DZK	DURGACHAK	"22.082021,88.155284"
DZKT	DURGA CHAK TOWN	"22.066471,88.135672"
DZL	DHANA LADANPUR	"28.746666,76.168363"
DZP	DARAZPUR	"30.152846,77.196021"
ED	ERODE JN	"11.327402,77.725654"
EDD	EDDULADODDI	"15.330048,77.590256"
EDG	EDEN GARDENS	"22.564997,88.339262"
EDN	EDAMANN	"9.006995,76.982574"
EDP	EDAPALAYAM HALT	"8.964776,77.116556"
EDU	ERIODU	"10.51560799,78.05710899"
EE	ELURU	"16.717796,81.119742"
EGU	IRANAGALLU	"15.89150357,77.26345539"
EKC	EKCHARI	"25.225907,87.215824"
EKI	EKLAKHI	"25.167698,88.099322"
EKL	EKDIL	"26.76615,79.116325"
EKM	EKAMBARAKUPPAN HALT	"13.318594,79.573116"
EKMA	EKMA	"25.966919,84.53619"
EKN	EZHUKONE	"8.979273,76.715198"
EKR	EKANGARSARAI	"25.2223015,85.2320838"
EL	ELAMANUR	"10.879499,78.57379"
ELL	ERALIGU	"24.664958,92.332191"
ELM	ELIMALA	"12.076505,75.213776"
ELP	ACHALPUR	"21.278178,77.516613"
ELR	ELAVUR	"13.457911,80.115738"
EN	ISAND	"23.293939,72.484875"
ENB	ELLENABAD	"29.443484,74.658108"
ENR	ENNORE	"13.217219,80.321217"
ERC	ERICH ROAD	"25.820831,79.035215"
ERL	ERANIEL	"8.213019,77.308631"
ERN	ERNAKULAM TOWN	"9.992012,76.28653"
ERS	ERANAKULAM JN	"9.969992,76.291122"
ESV	ISIVI	"15.65742,77.229424"
ET	ITARSI JN	"22.608068,77.766938"
ETAH	ETAH	"27.571553,78.654299"
ETK	ETAKKOT	"11.805985,75.443587"
ETM	ETTUMANUR	"9.676526,76.545482"
ETMD	ETTIMADAI	"10.898548,76.896915"
ETP	ETTAPUR ROAD	"11.650639,78.468175"
ETR	ELATTUR	"11.346337,75.741119"
ETUE	ETMADPUR	"27.221586,78.198023"
ETW	ETAWAH	"26.78638,79.021912"
EVA	EDAVAI	"8.763023,76.697617"
EZP	EZHUPPUNNA	"9.819888,76.301991"
FA	FALNA	"25.235418,73.234563"
FAN	FATEHNAGAR	"24.8179,74.095402"
FAP	FAKHARPUR HALT	"28.847155,77.293711"
FAR	FARAH	"27.334794,77.743979"
FBD	FARRUKHABAD	"27.38198,79.571357"
FBG	FORBESGANJ	"26.298571,87.262473"
FD	FAIZABAD JN	"26.768756,82.135334"
FDB	FARIDABAD	"28.411483,77.307358"
FDK	FARIDKOT	"30.683097,74.76162"
FDN	FARIDABAD NW TN	"28.376298,77.309418"
FGCN	FETEHGARH CHURN	"31.861813,74.940805"
FGH	FATEHGARH HRYNA	"0,0"
FGN	FAGUNAGAON	"0,0"
FGR	FATEHGARH	"27.369328,79.62131"
FGSB	FATEHGARH SAHIB	"30.651056,76.388454"
FHT	FARAH TOWN	"27.318323,77.758226"
FK	FEROK	"11.1749322,75.8302445"
FKA	FAZILKA	"30.408931,74.025707"
FKB	FAKHRABAD	"18.824254,77.974091"
FKG	FURKATING JN	"26.465502,94.002542"
FKM	FAKIRAGRAM JN	"26.364957,90.185909"
FL	PHULERA JN	"26.873234,75.245876"
FLD	PHULAD	"25.624309,73.813448"
FLK	FALAKATA	"26.529412,89.206066"
FLM	FALIMARI	"26.070507,89.473"
FLR	PHULESWAR	"22.476396,88.11224"
FLU	PHULIA	"23.230147,88.49659"
FM	KCG FALAKNUMA	"17.332307,78.474591"
FN	FARUKHNAGAR	"28.466616,76.828036"
FNB	FETH NAGAR	"0,0"
FPS	FATEHPUR SKHWTI	"28.000388,74.970703"
FRD	FARHEDI	"28.702333,78.792229"
FRDH	FARIDAHA HALT	"25.557929,83.125992"
FRG	FARINGAPETE HALT	"12.875401,74.957142"
FRH	FARHATNAGAR	"27.080984,80.143032"
FSG	PHURSUNGI	"18.455349,74.025536"
